pl_name,pl_rade,pl_masse,pl_radj,pl_massj,pl_dens,st_dist,pl_disc,pl_telescope,pl_eqt,pl_discmethod,pl_facility,pl_mnum,pl_pelink,pl_edelink,pl_cbflag,pl_orbper,pl_pnum,ra,dec,st_spstr,st_age,pl_ratdor,st_rad,rowupdate
CoRoT-23 b,11.770,889.90000,1.050,2.80000,3.00000,600.00,2011,0.27 m CoRoT Telescope,1660,Transit,CoRoT,0,http://exoplanet.eu/catalog/corot-23_b/,http://exoplanets.org/detail/CoRoT-23_b,0,3.63130000,1,279.782615,4.357806,G0 V,7.200,6.850000,1.61,2014-05-14
CoRoT-24 b,3.700,5.70000,0.330,0.01800,0.90000,600.00,2014,0.27 m CoRoT Telescope,1070,Transit,CoRoT,0,,,0,5.11340000,2,101.922547,-3.719301,K1 V,11.000,10.900000,0.86,2014-06-11
CoRoT-24 c,5.000,28.00000,0.440,0.08800,1.30000,600.00,2014,0.27 m CoRoT Telescope,850,Transit,CoRoT,0,,,0,11.75900000,2,101.922547,-3.719301,K1 V,11.000,18.000000,0.86,2014-06-11
CoRoT-25 b,12.110,85.81000,1.080,0.27000,0.15000,1000.00,2013,0.27 m CoRoT Telescope,1330,Transit,CoRoT,0,http://exoplanet.eu/catalog/corot-25_b/,http://exoplanets.org/detail/CoRoT-25_b,0,4.86069000,1,280.629662,6.513829,F9,4.500,10.200000,1.19,2014-05-14
CoRoT-26 b,14.120,165.26000,1.260,0.52000,0.28000,1670.00,2013,0.27 m CoRoT Telescope,1600,Transit,CoRoT,0,http://exoplanet.eu/catalog/corot-26_b/,http://exoplanets.org/detail/CoRoT-26_b,0,4.20474000,1,279.750514,6.969787,G5,8.600,6.280000,1.79,2014-05-14
CoRoT-27 b,11.287,3302.11000,1.007,10.39000,12.60000,,2014,0.27 m CoRoT Telescope,1500,Transit,CoRoT,0,http://exoplanet.eu/catalog/corot-27_b/,http://exoplanets.org/detail/CoRoT-27_b,0,3.57532000,1,278.495813,5.538462,G2,4.210,9.480000,1.08,2014-05-14
CoRoT-28 b,10.705,153.82972,0.955,0.48400,0.69000,560.00,2015,0.27 m CoRoT Telescope,,Transit,CoRoT,0,http://exoplanet.eu/catalog/corot-28_b/,,0,5.20851000,1,278.688338,5.573730,G8/9 IV,12.000,7.290000,1.78,2015-04-16
CoRoT-29 b,10.088,270.15550,0.900,0.85000,1.45000,765.00,2015,0.27 m CoRoT Telescope,,Transit,CoRoT,0,http://exoplanet.eu/catalog/corot-29_b/,,0,2.85057000,1,278.902103,6.479651,K0 V,4.500,9.220000,0.90,2015-04-16
CoRoT-3 b,11.320,6883.91000,1.010,21.66000,26.40000,680.00,2008,0.27 m CoRoT Telescope,,Transit,CoRoT,0,http://exoplanet.eu/catalog/corot-3_b/,http://exoplanets.org/detail/CoRoT-3_b,0,4.25680000,1,292.055263,0.121820,F3 V,2.200,7.800000,1.56,2014-05-14
CoRoT-4 b,13.340,228.83000,1.190,0.72000,0.52500,,2008,0.27 m CoRoT Telescope,1074,Transit,CoRoT,0,http://exoplanet.eu/catalog/corot-4_b/,http://exoplanets.org/detail/CoRoT-4_b,0,9.20205000,1,102.194663,-0.672774,,1.000,17.360000,1.17,2014-05-14
CoRoT-5 b,15.558,148.42000,1.388,0.46700,0.21700,,2009,0.27 m CoRoT Telescope,1438,Transit,CoRoT,0,http://exoplanet.eu/catalog/corot-5_b/,http://exoplanets.org/detail/CoRoT-5_b,0,4.03789620,1,101.277254,0.815239,F9 V,6.900,,1.19,2014-05-14
CoRoT-6 b,13.068,940.74000,1.166,2.96000,2.32000,,2009,0.27 m CoRoT Telescope,1017,Transit,CoRoT,0,http://exoplanet.eu/catalog/corot-6_b/,http://exoplanets.org/detail/CoRoT-6_b,0,8.88659300,1,281.072525,6.663194,F9 V,,17.940000,1.02,2014-05-14
CoRoT-7 b,1.585,5.74000,0.141,0.01800,7.50000,153.70,2009,0.27 m CoRoT Telescope,1756,Transit,CoRoT,0,http://exoplanet.eu/catalog/corot-7_b/,http://exoplanets.org/detail/CoRoT-7_b,0,0.85359159,2,100.956125,-1.063033,G9 V,1.320,4.484000,0.82,2015-03-05
