pl_name,pl_rade,pl_masse,pl_radj,pl_massj,st_dist,pl_disc,pl_telescope,pl_eqt
HD 100777 b,,,,,52.80,2007,3.6 m ESO Telescope,
HD 10180 c,,,,,39.02,2010,3.6 m ESO Telescope,
HD 10180 d,,,,,39.02,2010,3.6 m ESO Telescope,
HD 10180 e,,,,,39.02,2010,3.6 m ESO Telescope,
HD 10180 f,,,,,39.02,2010,3.6 m ESO Telescope,
HD 10180 g,,,,,39.02,2010,3.6 m ESO Telescope,
HD 10180 h,,,,,39.02,2010,3.6 m ESO Telescope,
HD 101930 b,,,,,30.50,2005,3.6 m ESO Telescope,
HD 102117 b,,,,,42.00,2005,3.6 m ESO Telescope,
HD 102195 b,,,,,28.98,2006,0.9 m KPNO Coude Feed Telescope,
HD 102272 b,,,,,164.20,2008,9.2 m Hobby-Eberly Telescope,
HD 102329 b,,,,,138.50,2011,10 m Keck I Telescope,
HD 102365 b,,,,,9.24,2010,3.9 m Anglo-Australian Telescope,
HD 102956 b,,,,,121.07,2010,10 m Keck I Telescope,
HD 103197 b,,,,,49.33,2009,3.6 m ESO Telescope,
HD 103720 b,,,,,41.60,2014,3.6 m ESO Telescope,
HD 103774 b,,,,,53.08,2013,3.6 m ESO Telescope,
HD 104067 b,,,,,20.82,2009,3.6 m ESO Telescope,
HD 10442 b,,,,,,2014,10 m Keck I Telescope,
HD 104985 b,,,,,102.04,2003,1.88 m Telescope,
HD 106252 b,,,,,37.44,2002,3.0 m C. Donald Shane Telescope,
HD 106270 b,,,,,87.87,2011,10 m Keck I Telescope,
HD 10647 b,,,,,17.35,2006,10 m Keck I Telescope,
HD 106515 A b,,,,,36.36,2012,1.2 m Leonhard Euler Telescope,
HD 106906 b,,3496.00000,,11.00000,91.83,2013,6.5 m Magellan II Clay Telescope,1800
HD 10697 b,,,,,32.56,1999,10 m Keck I Telescope,
HD 107148 b,,,,,51.26,2005,10 m Keck I Telescope,
HD 108147 b,,,,,38.56,2002,1.2 m Leonhard Euler Telescope,
HD 108341 b,,,,,49.40,2014,3.6 m ESO Telescope,
HD 108863 b,,,,,138.50,2011,10 m Keck I Telescope,
HD 108874 b,,,,,68.54,2002,10 m Keck I Telescope,
HD 108874 c,,,,,68.54,2005,10 m Keck I Telescope,
HD 109246 b,,,,,65.62,2010,1.93 m Telescope,
HD 109271 b,,,,,56.92,2013,3.6 m ESO Telescope,
HD 109271 c,,,,,56.92,2013,3.6 m ESO Telescope,
HD 109749 b,,,,,59.03,2005,10 m Keck I Telescope,
HD 110014 b,,,,,97.66,2009,Multiple Telescopes,
HD 111232 b,,,,,28.88,2003,1.2 m Leonhard Euler Telescope,
HD 113337 b,,,,,37.42,2013,1.93 m Telescope,
HD 113538 b,,,,,15.90,2010,3.6 m ESO Telescope,
HD 113538 c,,,,,15.90,2010,3.6 m ESO Telescope,
HD 114386 b,,,,,28.04,2003,1.2 m Leonhard Euler Telescope,
HD 114613 b,,,,,20.48,2014,3.9 m Anglo-Australian Telescope,
HD 114729 b,,,,,35.00,2002,10 m Keck I Telescope,
HD 114762 b,,,,,40.57,1989,1.55 m Wyeth Telescope,
HD 114783 b,,,,,20.43,2001,10 m Keck I Telescope,
HD 11506 b,,,,,51.70,2007,10 m Keck I Telescope,
HD 11506 c,,,,,51.70,2008,10 m Keck I Telescope,
HD 116029 b,,,,,110.62,2011,10 m Keck I Telescope,
HD 117207 b,,,,,33.01,2004,10 m Keck I Telescope,
HD 11755 b,,,,,231.50,2015,1.8 m Telescope,
HD 117618 b,,,,,38.02,2004,3.9 m Anglo-Australian Telescope,
HD 118203 b,,,,,88.57,2005,1.93 m Telescope,
HD 11964 b,,,,,33.98,2005,10 m Keck I Telescope,
HD 11964 c,,,,,33.98,2008,10 m Keck I Telescope,
HD 11977 b,,,,,66.49,2005,Multiple Telescopes,
HD 120084 b,,,,,97.66,2013,1.88 m Telescope,
HD 121504 b,,,,,44.37,2003,1.2 m Leonhard Euler Telescope,
