pl_hostname,pl_name,pl_rade,pl_radj,pl_massj,pl_masse,pl_dens,pl_eqt,pl_telescope,pl_facility,pl_disc,pl_discmethod,pl_pnum,pl_orbper,st_dist,st_optmag,st_teff,st_mass,st_rad,hip_name,hd_name,st_age,ra,dec,pl_pelink,pl_edelink,rowupdate
HD 200964,HD 200964 b,,,,,,,3.0 m C. Donald Shane Telescope,Lick Observatory,2010,Radial Velocity,2,613.80000000,68.35,6.487,5164.00,1.44,4.30,HIP 104202,HD 200964,3.000,316.666016,3.803119,http://exoplanet.eu/catalog/hd_200964_b/,http://exoplanets.org/detail/HD_200964_b,2014-05-14
HD 200964,HD 200964 c,,,,,,,3.0 m C. Donald Shane Telescope,Lick Observatory,2010,Radial Velocity,2,825.00000000,68.35,6.487,5164.00,1.44,4.30,HIP 104202,HD 200964,3.000,316.666016,3.803119,http://exoplanet.eu/catalog/hd_200964_c/,http://exoplanets.org/detail/HD_200964_c,2014-05-14
HD 202206,HD 202206 b,,,,,,,1.2 m Leonhard Euler Telescope,La Silla Observatory,2002,Radial Velocity,2,255.87000000,46.34,8.080,5765.00,1.15,,HIP 104903,HD 202206,5.600,318.740692,-20.789209,http://exoplanet.eu/catalog/hd_202206_b/,http://exoplanets.org/detail/HD_202206_b,2015-08-27
HD 202206,HD 202206 c,,,,,,,1.2 m Leonhard Euler Telescope,La Silla Observatory,2004,Radial Velocity,2,1383.40000000,46.34,8.080,5765.00,1.15,,HIP 104903,HD 202206,5.600,318.740692,-20.789209,http://exoplanet.eu/catalog/hd_202206_c/,http://exoplanets.org/detail/HD_202206_c,2015-08-27
HD 203030,HD 203030 b,,,24.09000,7656.09700,,1206,5.1 m Hale Telescope,Palomar Observatory,2006,Imaging,1,,40.85,8.425,,,,HIP 105232,HD 203030,0.220,319.742584,26.230545,,,2014-05-14
HD 2039,HD 2039 b,,,,,,,3.9 m Anglo-Australian Telescope,Anglo-Australian Telescope,2002,Radial Velocity,1,1120.00000000,89.85,9.000,5941.00,1.17,,HIP 1931,HD 2039,,6.084491,-56.650047,http://exoplanet.eu/catalog/hd_2039_b/,http://exoplanets.org/detail/HD_2039_b,2014-08-21
HD 204313,HD 204313 b,,,,,,,1.2 m Leonhard Euler Telescope,La Silla Observatory,2010,Radial Velocity,2,2024.10000000,47.30,7.990,5776.00,1.02,,HIP 106006,HD 204313,,322.050873,-21.726255,http://exoplanet.eu/catalog/hd_204313_b/,http://exoplanets.org/detail/HD_204313_b,2015-11-19
HD 204313,HD 204313 c,,,,,,,Multiple Telescopes,La Silla Observatory,2015,Radial Velocity,2,34.90500000,47.30,7.990,5776.00,1.02,,HIP 106006,HD 204313,,322.050873,-21.726255,http://exoplanet.eu/catalog/hd_204313_c/,,2015-11-19
HD 204941,HD 204941 b,,,,,,,3.6 m ESO Telescope,La Silla Observatory,2011,Radial Velocity,1,1733.00000000,26.95,8.450,5056.00,0.74,0.72,HIP 106353,HD 204941,6.670,323.097961,-20.957422,http://exoplanet.eu/catalog/hd_204941_b/,http://exoplanets.org/detail/HD_204941_b,2014-05-14
HD 205739,HD 205739 b,,,,,,,6.5 m Magellan II Clay Telescope,Las Campanas Observatory,2008,Radial Velocity,1,279.80000000,90.33,8.560,6176.00,1.22,1.33,HIP 106824,HD 205739,2.840,324.535034,-31.737484,http://exoplanet.eu/catalog/hd_205739_b/,http://exoplanets.org/detail/HD_205739_b,2014-09-25
HD 206610,HD 206610 b,,,,,,,10 m Keck I Telescope,W. M. Keck Observatory,2009,Radial Velocity,1,610.00000000,170.07,8.346,4874.00,1.56,6.10,HIP 107251,HD 206610,3.000,325.853760,-7.408253,http://exoplanet.eu/catalog/hd_206610_b/,http://exoplanets.org/detail/HD_206610_b,2014-05-14
HD 20782,HD 20782 b,,,,,,,3.9 m Anglo-Australian Telescope,Anglo-Australian Telescope,2006,Radial Velocity,1,577.90000000,36.02,7.367,5758.00,1.00,,HIP 15527,HD 20782,7.100,50.014908,-28.854071,http://exoplanet.eu/catalog/hd_20782_b/,http://exoplanets.org/detail/HD_20782_b,2014-09-25
HD 207832,HD 207832 b,,,,,,,10 m Keck I Telescope,W. M. Keck Observatory,2012,Radial Velocity,2,161.97000000,55.31,8.786,5710.00,0.94,0.90,HIP 107985,HD 207832,,328.151184,-26.026560,http://exoplanet.eu/catalog/hd_207832_b/,http://exoplanets.org/detail/HD_207832_b,2015-09-10
